万天天 admin admin 000000 管理员
王瑶瑶 123456 00000001 000000 总经理
王栋栋 123456789 00000003 000000 财务人员（低）
汪盼盼 122141315 00000002 000000 财务人员（高）
南京鼓楼区营业厅业务员1 123456 02500101 025001 营业厅业务人员
南京鼓楼区营业厅业务员2 123456 02500102 025001 营业厅业务人员
南京鼓楼区快递员1 123456 02500103 025001 快递员
南京鼓楼区快递员2 123456 02500104 025001 快递员
北京东城区业务员1 123456 01000101 010001 营业厅业务人员
北京东城区业务员2 123456 01000102 010001 营业厅业务人员
北京东城区快递员1 123456 01000103 010001 快递员
北京东城区快递员2 123456 01000104 010001 快递员
北京东城区快递员3 123456 01000105 010001 快递员
上海浦东新区业务员1 123456 04400101 044001 营业厅业务人员
广州越秀区快递员2 123456 02000104 020001 快递员
广州越秀区快递员1 123456 02000103 020001 快递员
广州越秀区营业厅业务员2 123456 02000102 020001 营业厅业务人员
广州越秀区营业厅业务员1 123456 02000101 020001 营业厅业务人员
上海浦东新区快递员2 123456 04400104 044001 快递员
上海浦东新区快递员1 123456 04400103 044001 快递员
上海浦东新区业务员2 123456 04400102 044001 营业厅业务人员
